Gene_ID,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000002079.14,MYH16,0.871441514,1.775381304,0.853548019,2.080001668,0.03752538,0.999960515
ENSG00000002746.15,HECW1,4.689289994,1.146021001,0.547503343,2.093176263,0.036333423,0.999960515
ENSG00000003249.15,DBNDD1,79.35563967,0.589640458,0.281145014,2.097282286,0.035968594,0.999960515
ENSG00000006015.18,REX1BD,205.9230089,-0.734584488,0.271687527,-2.703784365,0.006855476,0.91289501
ENSG00000006607.14,FARP2,427.3646628,-0.191141537,0.095489444,-2.001703314,0.04531665,0.999960515
ENSG00000006695.12,COX10,183.6016568,0.183367885,0.091708917,1.999455357,0.045559108,0.999960515
ENSG00000006831.10,ADIPOR2,4368.728053,0.255356989,0.117891696,2.166030318,0.03030887,0.999960515
ENSG00000007001.13,UPP2,349.9496645,1.241600502,0.573590814,2.164610158,0.030417552,0.999960515
ENSG00000007968.7,E2F2,5.927075169,0.980265296,0.409188993,2.395629679,0.016591844,0.999960515
ENSG00000008311.16,AASS,3023.255031,-0.41056711,0.181886243,-2.257274127,0.023990951,0.999960515
ENSG00000008513.16,ST3GAL1,4803.994218,-0.391298565,0.196772217,-1.988586453,0.046746868,0.999960515
ENSG00000008517.19,IL32,2914.231744,0.636784898,0.306334782,2.078722155,0.037642895,0.999960515
ENSG00000009724.17,MASP2,3147.630131,-0.233938964,0.107730354,-2.171523206,0.029891645,0.999960515
ENSG00000010932.17,FMO1,121.7470847,1.151381846,0.432167851,2.664200597,0.007717153,0.953599889
ENSG00000011304.22,PTBP1,1476.398464,-0.201186359,0.089132817,-2.257152489,0.023998548,0.999960515
ENSG00000011422.12,PLAUR,30.91429284,0.724965608,0.248729585,2.914673813,0.003560605,0.768734986
ENSG00000011426.11,ANLN,20.11792552,1.366910987,0.404632543,3.378153857,0.000729742,0.445292875
ENSG00000011523.14,CEP68,164.8822053,-0.229162392,0.086313929,-2.654987386,0.007931137,0.953599889
ENSG00000014641.21,MDH1,3347.015319,0.208838184,0.104342087,2.001476012,0.045341116,0.999960515
ENSG00000018869.18,ZNF582,51.11354709,0.360944569,0.148905004,2.423992205,0.015350935,0.999960515
ENSG00000021852.14,C8B,15167.52686,-0.283885088,0.138487235,-2.049900751,0.040374117,0.999960515
ENSG00000024526.17,DEPDC1,8.491005659,1.169196649,0.508112728,2.30105759,0.021388376,0.999960515
ENSG00000025772.8,TOMM34,286.4876683,0.174105303,0.073029011,2.384056684,0.017122965,0.999960515
ENSG00000026297.17,RNASET2,302.6187815,-0.212089856,0.100691505,-2.106333162,0.035175423,0.999960515
ENSG00000028277.22,POU2F2,22.89615245,0.481443499,0.215175876,2.237441796,0.025257479,0.999960515
ENSG00000034239.11,EFCAB1,8.519760449,-0.789615037,0.307056385,-2.571563641,0.010124041,0.999960515
ENSG00000037042.9,TUBG2,133.0258584,0.504325084,0.204050119,2.471574568,0.013451949,0.999960515
ENSG00000040275.17,SPDL1,65.92019937,0.360943313,0.154066275,2.34277951,0.019140691,0.999960515
ENSG00000042493.16,CAPG,104.2113919,0.556541688,0.260872489,2.133385893,0.032893083,0.999960515
ENSG00000043591.6,ADRB1,3.701334277,-0.902801407,0.377137675,-2.393824505,0.016673725,0.999960515
ENSG00000047249.18,ATP6V1H,312.8097359,0.162549343,0.081226404,2.001188459,0.045372084,0.999960515
ENSG00000047936.11,ROS1,15.51876969,1.233702776,0.418297356,2.949343949,0.003184493,0.768734986
ENSG00000049541.11,RFC2,359.3219353,0.240992624,0.093368739,2.581084714,0.009849041,0.999960515
ENSG00000051180.17,RAD51,12.58964694,0.812779235,0.255513818,3.180960002,0.001467879,0.583400855
ENSG00000051341.15,POLQ,14.54147192,1.121348948,0.320456631,3.499222169,0.000466618,0.380876622
ENSG00000054793.14,ATP9A,744.6076668,0.34753397,0.148643864,2.338031054,0.019385637,0.999960515
ENSG00000058085.15,LAMC2,22.85594433,1.396318478,0.449969845,3.103137897,0.001914804,0.615184749
ENSG00000062485.19,CS,1318.143246,0.280941705,0.141017405,1.99224844,0.046343806,0.999960515
ENSG00000062598.18,ELMO2,334.0166986,0.172670956,0.086694336,1.991721296,0.046401646,0.999960515
ENSG00000063127.16,SLC6A16,123.8991637,-0.694539175,0.27656114,-2.511340441,0.012027364,0.999960515
ENSG00000064225.13,ST3GAL6,1115.79772,-0.379924091,0.168456408,-2.255325844,0.024112884,0.999960515
ENSG00000064961.19,HMG20B,448.6844322,-0.320222537,0.160548605,-1.994551969,0.046091767,0.999960515
ENSG00000065057.9,NTHL1,295.7104261,-0.466181229,0.233206009,-1.999010363,0.045607233,0.999960515
ENSG00000065268.11,WDR18,288.4051336,-0.696744256,0.19189765,-3.630811825,0.000282531,0.316273416
ENSG00000065328.17,MCM10,12.78172261,1.700604768,0.453152581,3.752830371,0.000174849,0.290424617
ENSG00000065361.17,ERBB3,2467.737408,-0.294513671,0.141193707,-2.085883831,0.036989147,0.999960515
ENSG00000065485.20,PDIA5,1314.710641,-0.282138032,0.108087063,-2.610284924,0.009046684,0.979141087
ENSG00000065882.17,TBC1D1,891.3134065,0.216297253,0.090061227,2.401668942,0.016320471,0.999960515
ENSG00000066322.15,ELOVL1,558.2337446,0.240212964,0.10554497,2.275930007,0.022850199,0.999960515
ENSG00000066739.12,ATG2B,933.6703289,-0.202883547,0.09420392,-2.153663547,0.031266567,0.999960515
ENSG00000067560.14,RHOA,4031.029824,0.128239044,0.053771286,2.384898209,0.017083848,0.999960515
ENSG00000068831.19,RASGRP2,81.00719775,-0.593782685,0.2409948,-2.463881727,0.013744146,0.999960515
ENSG00000069509.6,FUNDC1,114.593016,0.266012657,0.135693453,1.960394186,0.049949735,0.999960515
ENSG00000070423.18,RNF126,146.0769778,-0.609405353,0.220805661,-2.75991725,0.0057816,0.873252161
ENSG00000070759.17,TESK2,169.3731552,-0.241457925,0.108453476,-2.226373311,0.025989187,0.999960515
ENSG00000071909.19,MYO3B,1.869281237,-1.977857962,0.560307508,-3.529950844,0.000415637,0.353551761
ENSG00000072042.13,RDH11,3190.163247,0.431120439,0.170975232,2.521537392,0.011684326,0.999960515
ENSG00000072071.17,ADGRL1,34.91074556,0.436742524,0.222817769,1.960088395,0.049985459,0.999960515
ENSG00000072134.16,EPN2,139.2475379,-0.197302078,0.093732267,-2.104953644,0.035295343,0.999960515
ENSG00000072135.13,PTPN18,627.1506496,0.302036599,0.148812173,2.029649815,0.042392147,0.999960515
ENSG00000072274.13,TFRC,1115.111357,0.500985601,0.223742431,2.23911754,0.025148269,0.999960515
ENSG00000072682.20,P4HA2,253.5107428,0.373950484,0.138225528,2.705364843,0.006822941,0.91289501
ENSG00000072832.15,CRMP1,74.42616317,1.041700491,0.331764136,3.139882759,0.001690155,0.602366211
ENSG00000072840.13,EVC,190.4604723,1.084145919,0.370354849,2.927316661,0.003419006,0.768734986
ENSG00000073008.15,PVR,719.9496212,0.254592163,0.125564317,2.027583704,0.042602754,0.999960515
ENSG00000073111.14,MCM2,132.0387401,0.969598047,0.30826154,3.145374697,0.001658742,0.602366211
ENSG00000073169.15,SELENOO,942.7725171,-0.573029686,0.255486336,-2.242897591,0.024903419,0.999960515
ENSG00000073605.19,GSDMB,717.4266687,0.817133808,0.412539438,1.98074107,0.047620318,0.999960515
ENSG00000073712.15,FERMT2,1867.14345,-0.255503105,0.129717101,-1.969694838,0.048873355,0.999960515
ENSG00000073737.17,DHRS9,51.26207592,1.033150516,0.279661563,3.694288571,0.000220503,0.29790753
ENSG00000074410.14,CA12,48.74611602,1.92625031,0.607247605,3.172100297,0.001513407,0.583400855
ENSG00000074416.16,MGLL,3010.33045,0.333513841,0.164148823,2.031777234,0.042176213,0.999960515
ENSG00000075218.19,GTSE1,5.985574341,0.727019734,0.336449823,2.160856347,0.030706438,0.999960515
ENSG00000075234.17,TTC38,3436.861011,-0.273575444,0.101209614,-2.703057863,0.006870478,0.91289501
ENSG00000075240.17,GRAMD4,547.437759,-0.606426803,0.166963438,-3.632093411,0.000281131,0.316273416
ENSG00000075415.15,SLC25A3,5619.042504,0.206960804,0.087285239,2.371085962,0.017735906,0.999960515
ENSG00000076003.5,MCM6,294.9928001,0.840826353,0.271191277,3.100491888,0.001931995,0.615184749
ENSG00000076242.16,MLH1,522.8158972,0.210872652,0.088675488,2.378026414,0.017405579,0.999960515
ENSG00000076356.7,PLXNA2,203.6495103,0.342248857,0.130286821,2.626887769,0.008616975,0.960411622
ENSG00000076716.9,GPC4,39.87598227,0.761963922,0.287709493,2.648379494,0.008087868,0.956334641
ENSG00000076924.12,XAB2,354.0804685,-0.473973601,0.167973817,-2.821711196,0.004776817,0.820228838
ENSG00000077152.11,UBE2T,24.02059886,0.658517453,0.265116021,2.483884045,0.012995812,0.999960515
ENSG00000077238.14,IL4R,825.593093,-0.300198954,0.142668368,-2.104173178,0.035363343,0.999960515
ENSG00000077454.17,LRCH4,141.1298792,-0.36015388,0.179774604,-2.003363501,0.045138286,0.999960515
ENSG00000078687.18,TNRC6C,150.2470501,-0.287964095,0.130782738,-2.201850937,0.02767584,0.999960515
ENSG00000079101.17,CLUL1,3.338384378,1.105960802,0.468475418,2.360765923,0.018237238,0.999960515
ENSG00000079459.13,FDFT1,3426.678053,0.676072043,0.319412385,2.11661186,0.034292803,0.999960515
ENSG00000079462.8,PAFAH1B3,28.78303075,-0.453951946,0.190224332,-2.386403151,0.017014088,0.999960515
ENSG00000079931.15,MOXD1,34.70925641,2.017398763,0.495963504,4.067635518,4.75E-05,0.130176647
ENSG00000081760.17,AACS,173.5936387,0.504003805,0.254073102,1.983696033,0.047289736,0.999960515
ENSG00000083223.18,ZCCHC6,1226.979211,-0.474387069,0.190251822,-2.493469258,0.012650154,0.999960515
ENSG00000083807.10,SLC27A5,10497.12482,-0.366975877,0.155284109,-2.363254541,0.018115223,0.999960515
ENSG00000083814.13,ZNF671,83.25626572,0.49683149,0.192582755,2.579833744,0.009884789,0.999960515
ENSG00000083857.15,FAT1,1413.480116,0.714752902,0.277983302,2.571208042,0.010134443,0.999960515
ENSG00000084652.16,TXLNA,1323.189757,0.234611733,0.103499607,2.266788647,0.02340314,0.999960515
ENSG00000085831.16,TTC39A,16.76515269,0.606799098,0.262963482,2.307541308,0.021024662,0.999960515
ENSG00000085840.13,ORC1,17.00027167,0.97410518,0.365835671,2.66268507,0.007751993,0.953599889
ENSG00000085978.22,ATG16L1,483.9486376,0.147995996,0.073313899,2.018662197,0.043522342,0.999960515
ENSG00000086712.13,TXLNG,278.6608626,-0.232453417,0.113395003,-2.049944102,0.040369886,0.999960515
ENSG00000087903.13,RFX2,25.14345324,-0.511271862,0.248350321,-2.058672042,0.039525666,0.999960515
ENSG00000088386.17,SLC15A1,651.0439356,0.285234349,0.133093345,2.143115037,0.032103862,0.999960515
ENSG00000089022.14,MAPKAPK5,335.2075868,0.101013595,0.05073319,1.991075172,0.046472624,0.999960515
ENSG00000089123.16,TASP1,93.51511122,0.506740125,0.160115965,3.164831965,0.001551725,0.590258254
ENSG00000090020.11,SLC9A1,69.41359947,0.371493715,0.156713639,2.370525739,0.017762807,0.999960515
ENSG00000090238.12,YPEL3,248.5127843,-0.547420695,0.224165698,-2.442035959,0.014604692,0.999960515
ENSG00000090554.13,FLT3LG,14.09786839,-0.426251229,0.217168868,-1.962763964,0.049673607,0.999960515
