Gene_ID,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000460.17,C1orf112,146.8873431,-0.434544297,0.115322757,-3.768070661,0.000164514,0.001141583
ENSG00000001036.14,FUCA2,787.2105079,-0.430264899,0.112861997,-3.812309797,0.000137674,0.000980527
ENSG00000001167.15,NFYA,396.1866563,0.241779348,0.071299742,3.391026958,0.000696313,0.003957211
ENSG00000001461.17,NIPAL3,180.7934205,0.728318625,0.155724134,4.676979776,2.91E-06,3.36E-05
ENSG00000001497.18,LAS1L,509.2780948,0.521014037,0.064481762,8.080021741,6.48E-16,9.06E-14
ENSG00000001617.12,SEMA3F,118.1661679,0.524745104,0.174227181,3.011844074,0.002596659,0.012098212
ENSG00000001626.17,CFTR,153.933106,1.260052788,0.401062325,3.141787966,0.001679196,0.008389597
ENSG00000001629.10,ANKIB1,459.7345437,-0.358602442,0.114452916,-3.133187472,0.00172919,0.008589317
ENSG00000001630.18,CYP51A1,2153.128346,0.893492181,0.348509728,2.563751052,0.010354779,0.038960089
ENSG00000001631.17,KRIT1,233.0503437,-0.694204218,0.115850859,-5.992223308,2.07E-09,5.55E-08
ENSG00000002549.13,LAP3,3051.120477,0.387080785,0.125838799,3.076005068,0.002097943,0.010112746
ENSG00000002587.10,HS3ST1,7.997436826,-0.987019722,0.364844929,-2.70531298,0.006824006,0.027482096
ENSG00000002746.15,HECW1,4.570097612,2.270004824,0.77170124,2.941559127,0.003265645,0.01472621
ENSG00000002822.16,MAD1L1,93.24872584,0.931344518,0.20479333,4.547728763,5.42E-06,5.79E-05
ENSG00000002834.18,LASP1,2248.052218,0.759051933,0.113127441,6.70970658,1.95E-11,8.77E-10
ENSG00000002919.15,SNX11,314.5681865,0.449539839,0.101455265,4.430916811,9.38E-06,9.35E-05
ENSG00000003056.8,M6PR,1109.397089,0.731535943,0.142322043,5.140004526,2.75E-07,4.21E-06
ENSG00000003249.15,DBNDD1,76.24732716,1.499086914,0.320946827,4.670826401,3.00E-06,3.44E-05
ENSG00000003393.16,ALS2,984.9662494,0.29919616,0.085036634,3.518438407,0.000434095,0.002626748
ENSG00000003436.16,TFPI,3794.753589,-0.686725323,0.190271881,-3.609179246,0.000307167,0.001938204
ENSG00000003509.16,NDUFAF7,271.6070448,-0.301403173,0.079103335,-3.810246084,0.000138829,0.000988214
ENSG00000003987.14,MTMR7,72.50464349,-0.762737714,0.265756856,-2.870058462,0.004103959,0.017847334
ENSG00000004139.14,SARM1,808.405922,0.63548212,0.133422421,4.762933528,1.91E-06,2.31E-05
ENSG00000004142.12,POLDIP2,3511.451692,0.311846581,0.086005691,3.62588311,0.000287976,0.00183581
ENSG00000004455.18,AK2,3550.696398,0.19700006,0.074919713,2.629482317,0.008551498,0.033244117
ENSG00000004478.8,FKBP4,1291.208851,0.417842255,0.123810844,3.374843763,0.000738576,0.004152516
ENSG00000004660.15,CAMKK1,21.40140896,-0.683375059,0.184639541,-3.701130618,0.000214641,0.001435612
ENSG00000004779.10,NDUFAB1,1057.753345,-0.517568919,0.169487491,-3.053729311,0.002260159,0.010770922
ENSG00000004799.8,PDK4,6390.541954,-1.060232749,0.25281378,-4.193730055,2.74E-05,0.00024047
ENSG00000004838.14,ZMYND10,7.715389762,1.257871013,0.495328633,2.539467598,0.011102133,0.041306973
ENSG00000004948.16,CALCR,1.38790309,-1.665883347,0.617273213,-2.698777967,0.006959459,0.02793915
ENSG00000005007.13,UPF1,872.7090088,0.986336841,0.142143714,6.939011313,3.95E-12,2.06E-10
ENSG00000005022.6,SLC25A5,4574.548542,0.348803428,0.129831229,2.686591117,0.007218526,0.028817834
ENSG00000005059.16,MCUB,39.65832319,-0.954302157,0.187667388,-5.08507187,3.67E-07,5.46E-06
ENSG00000005102.14,MEOX1,4.74080795,3.383623596,0.977715575,3.460744291,0.000538684,0.003176288
ENSG00000005156.12,LIG3,366.3236258,-0.265562083,0.088322657,-3.006726597,0.002640772,0.012279074
ENSG00000005189.20,REXO5,51.93934151,0.505481532,0.162452653,3.111562195,0.001861003,0.009142723
ENSG00000005194.15,CIAPIN1,399.2716839,0.583279463,0.097986559,5.952647697,2.64E-09,6.92E-08
ENSG00000005206.17,SPPL2B,215.5394015,0.786025447,0.305566758,2.572352605,0.010100996,0.038183739
ENSG00000005249.13,PRKAR2B,74.07538629,-1.087114791,0.278404886,-3.904797812,9.43E-05,0.000703934
ENSG00000005436.14,GCFC2,523.745506,-0.658517662,0.155072486,-4.246515156,2.17E-05,0.000195707
