Gene_ID,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000001036.14,FUCA2,834.2541646,-0.432195086,0.158648128,-2.724236917,0.006445026,0.037228248
ENSG00000001461.17,NIPAL3,143.3800289,0.673547421,0.196824423,3.422072375,0.000621458,0.005813761
ENSG00000001497.18,LAS1L,433.0619628,0.532073521,0.122476845,4.344278476,1.40E-05,0.000260809
ENSG00000001631.17,KRIT1,279.3611721,-0.543176808,0.147165478,-3.690925438,0.00022344,0.002525678
ENSG00000002822.16,MAD1L1,87.63080805,1.28518385,0.340326474,3.776326399,0.000159158,0.001919019
ENSG00000002834.18,LASP1,1693.331214,0.605620436,0.182516276,3.318172217,0.000906086,0.007868426
ENSG00000003056.8,M6PR,863.6097496,0.639332177,0.165824687,3.855470419,0.000115507,0.001481189
ENSG00000003393.16,ALS2,900.218572,0.37041817,0.11413686,3.245386016,0.001172915,0.009678227
ENSG00000003987.14,MTMR7,84.16578944,-0.777803337,0.229699504,-3.386177692,0.000708735,0.006469313
ENSG00000003989.18,SLC7A2,7254.641682,0.691009662,0.234105328,2.951704127,0.003160256,0.021309741
ENSG00000004139.14,SARM1,678.1874938,0.663989208,0.16901995,3.928466476,8.55E-05,0.001151262
ENSG00000004779.10,NDUFAB1,1132.313117,-0.562466056,0.187922878,-2.993068555,0.002761877,0.019144038
ENSG00000004799.8,PDK4,8202.866978,-1.037136353,0.328682472,-3.155435543,0.001602587,0.012433019
ENSG00000005007.13,UPF1,730.590878,1.131617559,0.165820289,6.824361281,8.83E-12,1.30E-09
ENSG00000005059.16,MCUB,50.19412324,-0.859315434,0.300169864,-2.862763846,0.004199634,0.026763104
ENSG00000005194.15,CIAPIN1,320.2016092,0.491203194,0.137935056,3.561119329,0.000369277,0.003822267
ENSG00000005206.17,SPPL2B,213.4514304,1.203166911,0.406707697,2.958308683,0.003093322,0.02095482
ENSG00000005421.9,PON1,17142.77838,-0.461758807,0.160337415,-2.879919246,0.00397777,0.025589436
ENSG00000005436.14,GCFC2,603.398016,-0.600149442,0.1166878,-5.143206407,2.70E-07,9.52E-06
ENSG00000005471.19,ABCB4,3546.24672,1.062825243,0.217373377,4.889399328,1.01E-06,2.89E-05
ENSG00000005486.17,RHBDD2,577.8277025,0.616861515,0.217178994,2.840336921,0.004506591,0.028210395
ENSG00000005810.20,MYCBP2,767.5304392,0.889435939,0.236595869,3.759304602,0.000170386,0.002030036
ENSG00000005882.12,PDK2,688.2934337,0.868764429,0.226105134,3.842302969,0.000121885,0.001545234
ENSG00000006125.18,AP2B1,1233.937738,0.543300446,0.151991346,3.57454856,0.000350833,0.003671971
ENSG00000006210.7,CX3CL1,307.0892705,0.659075569,0.227002156,2.90338903,0.003691478,0.024151555
ENSG00000006282.21,SPATA20,726.9982507,1.022139354,0.251436798,4.065193958,4.80E-05,0.000724344
ENSG00000006432.16,MAP3K9,91.42069199,1.018266933,0.246363995,4.133180796,3.58E-05,0.000566666
ENSG00000006576.17,PHTF2,193.5332236,-0.727038509,0.273890775,-2.654483376,0.007942995,0.043903309
ENSG00000006607.14,FARP2,402.1337633,0.420368012,0.141496914,2.970863469,0.002969638,0.020279638
ENSG00000006625.18,GGCT,331.7371053,-0.766926546,0.203269812,-3.772948561,0.00016133,0.001942857
ENSG00000006712.15,PAF1,534.9295976,0.62462686,0.17497738,3.569757769,0.000357311,0.00372402
ENSG00000006715.16,VPS41,639.3693771,0.577437444,0.211513597,2.730025173,0.006332949,0.036820435
ENSG00000006744.19,ELAC2,749.0935803,0.652467078,0.114322988,5.707225551,1.15E-08,6.29E-07
ENSG00000007047.16,MARK4,157.9021318,0.754963235,0.193030071,3.911117229,9.19E-05,0.001223863
ENSG00000007080.11,CCDC124,171.7478726,1.184002073,0.30173272,3.924009545,8.71E-05,0.001169144
ENSG00000007168.14,PAFAH1B1,1100.631865,0.258502248,0.098597986,2.6217802,0.008747182,0.047394945
ENSG00000007202.15,KIAA0100,1446.872361,1.352594789,0.153113483,8.833936534,1.01E-18,9.72E-16
ENSG00000007372.25,PAX6,16.1267629,-1.47688763,0.304369893,-4.852278962,1.22E-06,3.38E-05
