Gene_Name,log2FoldChange
MYH2,5.176130371
PRAMEF10,4.467974006
COMP,4.248399634
SCUBE1,4.189941672
CNTN2,3.210201641
CNTN2,3.210201641
OPRPN,3.004124441
TREM2,2.834987149
TREM2,2.834987149
MMP9,2.778726345
MMP9,2.778726345
PRAMEF15,2.73987817
ITGB6,2.721677917
MIR126,2.67217387
DHFRP1,2.5667451
DHFRP1,2.5667451
GCK,2.532316069
ROS1,2.434043379
CDKN1A,2.364989644
CDKN1A,2.364989644
PDX1,2.30986124
PDX1,2.30986124
CHI3L1,2.217182338
ERVW-1,2.214093819
RTN4R,2.174425772
RTN4R,2.174425772
TNFRSF12A,2.05900105
ACE2,2.009759338
MIR675,1.910806704
SYT7,1.910684324
INS-IGF2,1.910205883
INS-IGF2,1.910205883
FLNA,1.865318295
FLNA,1.865318295
SPP1,1.854058668
SPP1,1.854058668
ENTPD2,1.830826832
ENTPD2,1.830826832
CCL22,1.784199263
LIF,1.775942276
LIF,1.775942276
EPPK1,1.769175842
EPPK1,1.769175842
KCNB1,1.758424306
CCL20,1.751789219
ALDH1A2,1.736509896
PDGFA,1.729131717
PDGFA,1.729131717
LAMB2,1.72509556
LAMB2,1.72509556
SDCBP2,1.714429593
EPHB2,1.663095536
EPHB2,1.663095536
DAB2IP,1.644582182
HGFAC,1.622305725
PLEC,1.620815386
EMILIN1,1.589683906
EMILIN1,1.589683906
WNK2,1.582930079
TRAF7,1.579048576
HMGCR,1.558563913
HMGCR,1.558563913
LRP5,1.504849998
CNTF,1.492044282
CNTF,1.492044282
MIR27B,1.480355701
ERBB2,1.477551946
ERBB2,1.477551946
ERBB2,1.477551946
CORO1B,1.459890344
ADRA1A,1.454959847
NLRP6,1.452842097
NLRP6,1.452842097
CLDN4,1.436005634
NOS2,1.432570291
CCL24,1.430599962
APOE,1.41354044
APOE,1.41354044
APOE,1.41354044
FERMT1,1.395310618
EXTL3,1.393990738
ANXA6,1.381343547
TGFB2,1.365732864
ADAM15,1.359938903
NECAB2,1.355314327
DMTN,1.348946516
PTPRU,1.338050846
GRN,1.314644957
GRN,1.314644957
GAS6,1.307411988
GAS6,1.307411988
GAS6,1.307411988
ABHD2,1.292929324
TRPV4,1.287983684
WNT4,1.275365316
ANXA2P2,1.274177106
SULF2,1.24279409
SULF2,1.24279409
ATP6V0D1,1.236054375
UHRF1,1.232601733
IGF2,1.232207886
CD24,1.22779636
THY1,1.222124984
THY1,1.222124984
COL1A1,1.213844649
COL1A1,1.213844649
SCRIB,1.210336731
TOP2A,1.202419723
NRG1,1.198999346
NRG1,1.198999346
NRG1,1.198999346
IQGAP3,1.198655016
ABCA7,1.187192262
CD151,1.182415908
ANXA2,1.170747159
ENO1,1.168568319
CLDN3,1.166643819
CLDN3,1.166643819
ITGB3,1.159025008
ITGB3,1.159025008
DYSF,1.15746471
DYSF,1.15746471
GPNMB,1.156088502
CARD9,1.143255435
PLXNA1,1.142364169
GNA12,1.115296301
GP1BA,1.112367492
SCARB1,1.096874662
IGF2R,1.093126595
NINJ2,1.091699114
AJUBA,1.070040583
NOTCH2,1.068124989
NOTCH2,1.068124989
NOTCH2,1.068124989
MTOR,1.065883458
TLN1,1.04801828
MED1,1.047838824
CCND1,1.045108484
CD109,1.04452087
RTN4RL1,1.030098602
RTN4RL1,1.030098602
ARHGEF5,1.021971041
TSPAN8,1.019405978
PPARD,1.012008669
PPARD,1.012008669
SDC1,1.001971367
CCN2,0.0
CCN2,0.0
CCN1,0.0
CCN2,0.0
CCN1,0.0
CCN1,0.0
TGIF1,-1.000729965
HTR2A,-1.003039692
VEGFB,-1.010228521
VEGFB,-1.010228521
ATF3,-1.020116245
HMOX1,-1.027615626
HMOX1,-1.027615626
CCL4,-1.030071087
SNCA,-1.039399294
SNCA,-1.039399294
CDKN1B,-1.051574651
CFHR3,-1.052353277
SPRED1,-1.096123533
CCL2,-1.103594233
CCL2,-1.103594233
DUSP10,-1.116864449
DUSP10,-1.116864449
ANGPT2,-1.120369406
FGF2,-1.123249892
FGF2,-1.123249892
LRP4,-1.124023343
LRP4,-1.124023343
LMO2,-1.132039641
COX17,-1.13474018
COX17,-1.13474018
TMEM182,-1.148035539
RAMP3,-1.151287695
NOX4,-1.154900421
JUN,-1.156882412
JUN,-1.156882412
JUN,-1.156882412
HESX1,-1.159234482
MT1A,-1.162520387
MT1A,-1.162520387
MT1A,-1.162520387
MT1A,-1.162520387
PCSK1,-1.166886984
MT1G,-1.176306959
MT1G,-1.176306959
MT1G,-1.176306959
MT1G,-1.176306959
ERVFRD-1,-1.190868511
GMFG,-1.202450231
C9,-1.206995516
DUSP6,-1.216612091
DUSP6,-1.216612091
CXCL3,-1.22497355
AIF1,-1.22713528
TMSB10,-1.253130276
MT1X,-1.257823184
MT1X,-1.257823184
MT1X,-1.257823184
MT1X,-1.257823184
VIL1,-1.288442111
CCL14,-1.300987324
ELAVL4,-1.311356611
EDN1,-1.337499298
EDN1,-1.337499298
FBLN1,-1.367297626
FBLN1,-1.367297626
JUNB,-1.377512556
PAX6,-1.390243535
DUSP5,-1.39886081
MIR21,-1.404475683
MIR21,-1.404475683
PTN,-1.406418899
PTN,-1.406418899
TFPI2,-1.428412126
MT1E,-1.432698422
MT1E,-1.432698422
MT1E,-1.432698422
MT1E,-1.432698422
C1QTNF3,-1.442259323
CCL3,-1.446579061
INHBB,-1.44834449
IL24,-1.465564686
MT1M,-1.476730027
MT1M,-1.476730027
MT1M,-1.476730027
MT1M,-1.476730027
MT1H,-1.4967533
MT1H,-1.4967533
MT1H,-1.4967533
MT1H,-1.4967533
MT1F,-1.511961666
MT1F,-1.511961666
MT1F,-1.511961666
MT1F,-1.511961666
TMIGD3,-1.52786383
MT1DP,-1.549447716
MT1DP,-1.549447716
NNMT,-1.569731376
MAP3K12,-1.596082483
ADTRP,-1.600748213
MSTN,-1.609524591
KLF4,-1.661151663
KLF4,-1.661151663
KLF4,-1.661151663
CALCR,-1.665883347
CEBPB,-1.700649794
CCL3L1,-1.70097602
IL10,-1.728995907
IL10,-1.728995907
HBEGF,-1.731106608
HBEGF,-1.731106608
ADRB1,-1.791411245
ZFP36,-1.844240666
LMO3,-1.864026489
CRP,-1.879599515
PRRX1,-1.897432374
PTGER3,-1.916743981
SLC7A11,-1.925987946
SOCS3,-1.9654582
SOCS3,-1.9654582
GATA3,-2.049424206
CXCR4,-2.065394682
CXCR4,-2.065394682
CXCR4,-2.065394682
CCL4L2,-2.15233007
PLA2G2A,-2.207939393
EPO,-2.214402753
EPO,-2.214402753
NRXN1,-2.275620744
CXCL2,-2.369920416
NR0B2,-2.419983326
DKK1,-2.554009094
DUSP1,-3.162615697
IGFBP1,-4.323546744
IL6,-4.336593281
IL6,-4.336593281
IL6,-4.336593281
MT1B,-5.329250427
MT1B,-5.329250427
MT1B,-5.329250427
MT1B,-5.329250427
FOS,-6.738679094
