"","bwnet.colors"
"ENSG00000163631","grey"
"ENSG00000198804","lightyellow"
"ENSG00000198886","lightyellow"
"ENSG00000210082","lightyellow"
"ENSG00000198727","lightyellow"
"ENSG00000198938","lightyellow"
"ENSG00000198899","lightyellow"
"ENSG00000198786","lightyellow"
"ENSG00000198712","lightyellow"
"ENSG00000198763","lightyellow"
"ENSG00000198888","lightyellow"
"ENSG00000257017","grey"
"ENSG00000171560","grey"
"ENSG00000197249","grey"
"ENSG00000212907","lightyellow"
"ENSG00000125730","greenyellow"
"ENSG00000198695","lightyellow"
"ENSG00000091513","grey"
"ENSG00000171564","grey"
"ENSG00000099194","grey"
"ENSG00000084674","black"
"ENSG00000229314","grey"
"ENSG00000228253","lightyellow"
"ENSG00000171557","grey"
"ENSG00000175899","grey"
"ENSG00000198840","red"
"ENSG00000211459","lightyellow"
"ENSG00000136872","grey"
"ENSG00000158874","yellow"
"ENSG00000130649","grey"
"ENSG00000196616","grey"
"ENSG00000160868","grey"
"ENSG00000110245","yellow"
"ENSG00000118271","grey"
"ENSG00000091583","grey"
"ENSG00000115414","black"
"ENSG00000145321","black"
"ENSG00000130208","yellow"
"ENSG00000248527","lightyellow"
"ENSG00000118137","grey"
"ENSG00000087086","grey"
"ENSG00000021826","grey"
"ENSG00000106927","grey"
"ENSG00000198099","grey"
"ENSG00000138207","grey"
"ENSG00000109072","grey"
"ENSG00000156508","yellow"
"ENSG00000133112","yellow"
"ENSG00000122194","black"
"ENSG00000110169","grey"
"ENSG00000124253","grey"
"ENSG00000237973","grey"
"ENSG00000145192","grey"
"ENSG00000130203","pink"
"ENSG00000250722","brown"
"ENSG00000198848","grey"
"ENSG00000132693","grey"
"ENSG00000151655","black"
"ENSG00000198650","grey"
"ENSG00000047457","black"
"ENSG00000171766","blue"
"ENSG00000278791","grey"
"ENSG00000134240","grey"
"ENSG00000113905","grey"
"ENSG00000120885","grey"
"ENSG00000112972","darkred"
"ENSG00000117601","grey"
"ENSG00000228278","grey"
"ENSG00000163586","grey"
"ENSG00000166710","grey"
"ENSG00000198865","brown"
"ENSG00000138115","grey"
"ENSG00000151726","grey"
"ENSG00000243955","grey"
"ENSG00000187758","grey"
"ENSG00000173432","grey"
"ENSG00000055957","greenyellow"
"ENSG00000182326","grey"
"ENSG00000113600","grey"
"ENSG00000242337","black"
"ENSG00000255974","grey"
"ENSG00000225630","grey"
"ENSG00000245532","red"
"ENSG00000138356","grey"
"ENSG00000113889","grey"
"ENSG00000130707","grey"
"ENSG00000151224","grey"
"ENSG00000135744","grey60"
"ENSG00000244255","grey"
"ENSG00000145692","grey"
"ENSG00000244067","grey"
"ENSG00000149131","grey"
"ENSG00000248144","grey"
"ENSG00000125144","grey"
"ENSG00000273259","grey"
"ENSG00000196136","grey"
"ENSG00000243649","grey"
"ENSG00000210194","lightyellow"
"ENSG00000111275","yellow"
"ENSG00000130600","grey"
"ENSG00000224389","grey"
"ENSG00000244414","grey"
"ENSG00000289697","black"
"ENSG00000156096","grey"
"ENSG00000172482","tan"
"ENSG00000139209","brown"
"ENSG00000109181","grey"
"ENSG00000136881","grey"
"ENSG00000162267","grey"
"ENSG00000139644","grey"
"ENSG00000159403","grey"
"ENSG00000244731","grey"
"ENSG00000106258","grey"
"ENSG00000171234","grey"
"ENSG00000210151","lightyellow"
"ENSG00000160862","grey"
"ENSG00000138109","grey"
"ENSG00000123838","grey"
"ENSG00000089220","yellow"
"ENSG00000135821","grey"
"ENSG00000052802","darkred"
"ENSG00000261701","midnightblue"
"ENSG00000243696","grey"
"ENSG00000055955","grey"
"ENSG00000109971","grey"
"ENSG00000132703","grey"
"ENSG00000125148","grey"
"ENSG00000000971","black"
"ENSG00000132541","green"
"ENSG00000119927","grey"
"ENSG00000163581","brown"
"ENSG00000116133","grey"
"ENSG00000104760","grey"
"ENSG00000169738","purple"
"ENSG00000210135","red"
"ENSG00000163755","green"
"ENSG00000132855","blue"
"ENSG00000171759","grey"
"ENSG00000121691","grey"
"ENSG00000167315","grey"
"ENSG00000140505","grey"
"ENSG00000224916","yellow"
"ENSG00000210140","red"
"ENSG00000280087","yellow"
"ENSG00000121310","turquoise"
"ENSG00000143819","grey"
"ENSG00000099937","black"
"ENSG00000008394","green"
"ENSG00000169136","grey"
"ENSG00000186480","grey"
"ENSG00000196620","grey"
"ENSG00000167711","grey"
"ENSG00000165092","grey"
"ENSG00000106804","black"
"ENSG00000148672","grey"
"ENSG00000234906","yellow"
"ENSG00000158104","grey"
"ENSG00000225972","midnightblue"
"ENSG00000198744","turquoise"
"ENSG00000169764","brown"
"ENSG00000187048","grey"
"ENSG00000180210","grey"
"ENSG00000185624","greenyellow"
"ENSG00000112964","brown"
"ENSG00000134824","grey"
"ENSG00000167658","greenyellow"
"ENSG00000025423","grey"
"ENSG00000105398","grey"
"ENSG00000197746","black"
"ENSG00000134184","grey"
"ENSG00000273171","purple"
"ENSG00000151365","grey"
"ENSG00000210144","red"
"ENSG00000116285","grey"
"ENSG00000079557","grey"
"ENSG00000169710","grey"
"ENSG00000131482","grey"
"ENSG00000146678","midnightblue"
"ENSG00000160282","turquoise"
"ENSG00000182551","yellow"
"ENSG00000144908","grey"
"ENSG00000151790","grey"
"ENSG00000005421","grey"
"ENSG00000134538","brown"
"ENSG00000044574","grey"
"ENSG00000039537","black"
"ENSG00000100316","yellow"
"ENSG00000164733","grey"
"ENSG00000198034","yellow"
"ENSG00000080618","blue"
"ENSG00000132386","grey"
"ENSG00000235910","grey"
"ENSG00000183747","red"
"ENSG00000273149","yellow"
"ENSG00000175003","grey"
"ENSG00000073849","black"
"ENSG00000111640","grey"
"ENSG00000196177","grey"
"ENSG00000166741","grey"
"ENSG00000142168","yellow"
"ENSG00000101981","brown"
"ENSG00000167996","yellow"
"ENSG00000167995","yellow"
"ENSG00000105697","grey"
"ENSG00000007933","grey"
"ENSG00000009950","turquoise"
"ENSG00000116171","grey"
"ENSG00000172955","grey"
"ENSG00000163682","yellow"
"ENSG00000003989","grey60"
"ENSG00000140526","black"
"ENSG00000167798","red"
"ENSG00000149485","grey"
"ENSG00000166598","grey"
"ENSG00000198734","black"
"ENSG00000210127","red"
"ENSG00000234745","grey"
"ENSG00000145592","yellow"
"ENSG00000182871","pink"
"ENSG00000131069","darkred"
"ENSG00000139547","grey"
"ENSG00000109929","darkred"
"ENSG00000169715","grey"
"ENSG00000021852","grey"
"ENSG00000127022","brown"
"ENSG00000075624","grey"
"ENSG00000075239","grey"
"ENSG00000080910","green"
"ENSG00000179218","grey"
"ENSG00000205542","yellow"
"ENSG00000110243","grey"
"ENSG00000255071","grey"
"ENSG00000106327","grey"
"ENSG00000188488","grey"
"ENSG00000147872","grey"
"ENSG00000197099","grey"
"ENSG00000080824","grey"
"ENSG00000135094","grey"
"ENSG00000165841","grey"
"ENSG00000100889","grey"
"ENSG00000180432","grey"
"ENSG00000004799","grey"
"ENSG00000120129","midnightblue"
"ENSG00000126838","grey60"
"ENSG00000008988","yellow"
"ENSG00000214274","grey"
"ENSG00000089157","yellow"
"ENSG00000272234","brown"
"ENSG00000106565","grey"
"ENSG00000112096","grey"
"ENSG00000184009","grey"
"ENSG00000211592","darkturquoise"
"ENSG00000245105","grey"
"ENSG00000170509","grey"
"ENSG00000166347","yellow"
"ENSG00000067064","darkred"
"ENSG00000103569","grey"
"ENSG00000229117","yellow"
"ENSG00000143878","midnightblue"
"ENSG00000137154","yellow"
"ENSG00000134339","grey"
"ENSG00000171236","grey"
"ENSG00000066813","grey"
"ENSG00000129988","grey"
"ENSG00000141753","grey"
"ENSG00000138326","yellow"
"ENSG00000122787","grey"
"ENSG00000116785","grey"
"ENSG00000244734","grey"
"ENSG00000266412","black"
"ENSG00000204525","grey"
"ENSG00000157131","grey"
"ENSG00000131187","turquoise"
"ENSG00000150991","grey"
"ENSG00000160870","grey"
"ENSG00000062282","grey"
"ENSG00000160285","darkred"
"ENSG00000140263","grey"
"ENSG00000142541","yellow"
"ENSG00000185432","green"
"ENSG00000119938","grey"
"ENSG00000118520","grey"
"ENSG00000160752","darkred"
"ENSG00000152558","brown"
"ENSG00000019582","grey"
"ENSG00000231500","yellow"
"ENSG00000176974","grey"
"ENSG00000117594","grey"
"ENSG00000113924","grey"
"ENSG00000083807","grey"
"ENSG00000123384","pink"
"ENSG00000127884","grey"
"ENSG00000119711","grey"
"ENSG00000115884","grey"
"ENSG00000107537","green"
"ENSG00000183044","grey"
"ENSG00000197756","yellow"
"ENSG00000072778","turquoise"
"ENSG00000161944","purple"
"ENSG00000144713","yellow"
"ENSG00000002933","grey"
"ENSG00000101856","green"
"ENSG00000148702","black"
"ENSG00000132837","black"
"ENSG00000170099","grey"
"ENSG00000206503","grey"
"ENSG00000170421","grey"
"ENSG00000113161","darkred"
"ENSG00000166825","grey"
"ENSG00000145425","yellow"
"ENSG00000100024","grey"
"ENSG00000117984","pink"
"ENSG00000146674","grey"
"ENSG00000060971","grey"
"ENSG00000280614","lightyellow"
"ENSG00000281181","lightyellow"
"ENSG00000147403","yellow"
"ENSG00000280800","lightyellow"
"ENSG00000167244","purple"
"ENSG00000187134","grey"
"ENSG00000130066","black"
"ENSG00000110651","grey"
"ENSG00000197958","yellow"
"ENSG00000106538","purple"
"ENSG00000139178","greenyellow"
"ENSG00000142676","yellow"
"ENSG00000136156","green"
"ENSG00000142534","yellow"
"ENSG00000151632","grey"
"ENSG00000114771","grey"
"ENSG00000165471","grey"
"ENSG00000209082","lightyellow"
"ENSG00000165140","grey"
"ENSG00000137204","grey"
"ENSG00000106853","grey"
"ENSG00000265972","grey"
"ENSG00000105707","turquoise"
"ENSG00000104635","black"
"ENSG00000167910","grey"
"ENSG00000142937","yellow"
"ENSG00000115310","blue"
