"","bwnet.colors","gene_id"
"ENSG00000163631","red","ENSG00000163631"
"ENSG00000198804","purple","ENSG00000198804"
"ENSG00000210082","purple","ENSG00000210082"
"ENSG00000257017","grey","ENSG00000257017"
"ENSG00000198938","purple","ENSG00000198938"
"ENSG00000198886","grey","ENSG00000198886"
"ENSG00000198899","purple","ENSG00000198899"
"ENSG00000171560","grey","ENSG00000171560"
"ENSG00000198727","purple","ENSG00000198727"
"ENSG00000198763","yellow","ENSG00000198763"
"ENSG00000229314","grey","ENSG00000229314"
"ENSG00000198712","purple","ENSG00000198712"
"ENSG00000171564","turquoise","ENSG00000171564"
"ENSG00000197249","grey","ENSG00000197249"
"ENSG00000091513","blue","ENSG00000091513"
"ENSG00000198888","purple","ENSG00000198888"
"ENSG00000084674","blue","ENSG00000084674"
"ENSG00000198786","grey","ENSG00000198786"
"ENSG00000125730","brown","ENSG00000125730"
"ENSG00000171557","blue","ENSG00000171557"
"ENSG00000110245","cyan","ENSG00000110245"
"ENSG00000158874","pink","ENSG00000158874"
"ENSG00000099194","grey","ENSG00000099194"
"ENSG00000136872","blue","ENSG00000136872"
"ENSG00000198840","purple","ENSG00000198840"
"ENSG00000196616","steelblue","ENSG00000196616"
"ENSG00000130649","grey","ENSG00000130649"
"ENSG00000130208","brown","ENSG00000130208"
"ENSG00000160868","lightgreen","ENSG00000160868"
"ENSG00000145321","blue","ENSG00000145321"
"ENSG00000237973","violet","ENSG00000237973"
"ENSG00000118137","turquoise","ENSG00000118137"
"ENSG00000118271","grey","ENSG00000118271"
"ENSG00000091583","red","ENSG00000091583"
"ENSG00000087086","grey","ENSG00000087086"
"ENSG00000212907","cyan","ENSG00000212907"
"ENSG00000278791","violet","ENSG00000278791"
"ENSG00000115414","blue","ENSG00000115414"
"ENSG00000133112","brown","ENSG00000133112"
"ENSG00000211459","purple","ENSG00000211459"
"ENSG00000156508","grey60","ENSG00000156508"
"ENSG00000106927","turquoise","ENSG00000106927"
"ENSG00000175899","grey","ENSG00000175899"
