,colors,gene_id,gene_name,gene_type,receptor
0,red,ENSG00000163631,ALB,gene with protein product,
1,purple,ENSG00000198804,MT-CO1,gene with protein product,
2,purple,ENSG00000210082,MT-RNR2,"RNA, ribosomal",
3,grey,ENSG00000257017,HP,gene with protein product,
4,purple,ENSG00000198938,MT-CO3,gene with protein product,
5,grey,ENSG00000198886,MT-ND4,gene with protein product,
6,purple,ENSG00000198899,MT-ATP6,gene with protein product,
7,grey,ENSG00000171560,FGA,gene with protein product,
8,purple,ENSG00000198727,MT-CYB,gene with protein product,
9,yellow,ENSG00000198763,MT-ND2,gene with protein product,
10,grey,ENSG00000229314,ORM1,gene with protein product,
11,purple,ENSG00000198712,MT-CO2,gene with protein product,
12,turquoise,ENSG00000171564,FGB,gene with protein product,
13,grey,ENSG00000197249,SERPINA1,gene with protein product,
14,blue,ENSG00000091513,TF,gene with protein product,
15,purple,ENSG00000198888,MT-ND1,gene with protein product,
16,blue,ENSG00000084674,APOB,gene with protein product,
17,grey,ENSG00000198786,MT-ND5,gene with protein product,
18,brown,ENSG00000125730,C3,gene with protein product,
19,blue,ENSG00000171557,FGG,gene with protein product,
20,cyan,ENSG00000110245,APOC3,gene with protein product,
21,pink,ENSG00000158874,APOA2,gene with protein product,
22,grey,ENSG00000099194,SCD,gene with protein product,
23,blue,ENSG00000136872,ALDOB,gene with protein product,
24,purple,ENSG00000198840,MT-ND3,gene with protein product,
25,steelblue,ENSG00000196616,ADH1B,gene with protein product,
26,grey,ENSG00000130649,CYP2E1,gene with protein product,
27,brown,ENSG00000130208,APOC1,gene with protein product,
28,lightgreen,ENSG00000160868,CYP3A4,gene with protein product,
29,blue,ENSG00000145321,GC,gene with protein product,
30,violet,ENSG00000237973,MTCO1P12,pseudogene,
31,turquoise,ENSG00000118137,APOA1,gene with protein product,
32,grey,ENSG00000118271,TTR,gene with protein product,
33,red,ENSG00000091583,APOH,gene with protein product,
34,grey,ENSG00000087086,FTL,gene with protein product,
35,cyan,ENSG00000212907,MT-ND4L,gene with protein product,
36,violet,ENSG00000278791,,,
37,blue,ENSG00000115414,FN1,gene with protein product,
38,brown,ENSG00000133112,TPT1,gene with protein product,
39,purple,ENSG00000211459,MT-RNR1,"RNA, ribosomal",
40,grey60,ENSG00000156508,EEF1A1,gene with protein product,
41,turquoise,ENSG00000106927,AMBP,gene with protein product,
42,grey,ENSG00000175899,A2M,gene with protein product,
43,yellow,ENSG00000130203,APOE,gene with protein product,
44,blue,ENSG00000132693,CRP,gene with protein product,
45,grey,ENSG00000198695,MT-ND6,gene with protein product,
46,violet,ENSG00000124253,PCK1,gene with protein product,
47,blue,ENSG00000021826,CPS1,gene with protein product,
48,brown,ENSG00000198099,ADH4,gene with protein product,
49,yellow,ENSG00000109072,VTN,gene with protein product,
50,violet,ENSG00000248527,MTATP6P1,pseudogene,
51,blue,ENSG00000122194,PLG,gene with protein product,
52,salmon,ENSG00000145192,AHSG,gene with protein product,
53,green,ENSG00000171766,GATM,gene with protein product,
54,turquoise,ENSG00000228253,MT-ATP8,gene with protein product,
55,darkmagenta,ENSG00000163586,FABP1,gene with protein product,
56,blue,ENSG00000151655,ITIH2,gene with protein product,
57,turquoise,ENSG00000250722,SELENOP,gene with protein product,
58,yellow,ENSG00000198848,CES1,gene with protein product,
59,grey,ENSG00000198650,TAT,gene with protein product,
60,grey,ENSG00000138207,RBP4,gene with protein product,
61,blue,ENSG00000110169,HPX,gene with protein product,
62,violet,ENSG00000225630,MTND2P28,pseudogene,
63,blue,ENSG00000117601,SERPINC1,gene with protein product,
64,grey,ENSG00000134240,HMGCS2,gene with protein product,
65,purple,ENSG00000228278,ORM2,gene with protein product,
66,turquoise,ENSG00000172482,AGXT,gene with protein product,
