,Gene_ID,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,Chromosome,Start,End,Biotype
0,ENSG00000001036.14,FUCA2,834.2541646,-0.432195086,0.158648128,-2.724236917,0.006445026,0.037228248,ENSG00000001036.14,6,143494812,143511720,protein_coding
1,ENSG00000001461.17,NIPAL3,143.3800289,0.673547421,0.196824423,3.422072375,0.000621458,0.005813761,ENSG00000001461.17,1,24415802,24472976,protein_coding
2,ENSG00000001497.18,LAS1L,433.0619628,0.532073521,0.122476845,4.344278476,1.4e-05,0.000260809,ENSG00000001497.18,X,65438549,65534810,protein_coding
3,ENSG00000001631.17,KRIT1,279.3611721,-0.543176808,0.147165478,-3.690925438,0.00022344,0.002525678,ENSG00000001631.17,7,92197498,92246166,protein_coding
4,ENSG00000002822.16,MAD1L1,87.63080805,1.28518385,0.340326474,3.776326399,0.000159158,0.001919019,ENSG00000002822.16,7,1815793,2233243,protein_coding
5,ENSG00000002834.18,LASP1,1693.331214,0.605620436,0.182516276,3.318172217,0.000906086,0.007868426,ENSG00000002834.18,17,38869859,38921770,protein_coding
6,ENSG00000003056.8,M6PR,863.6097496,0.639332177,0.165824687,3.855470419,0.000115507,0.001481189,ENSG00000003056.8,12,8940361,8949761,protein_coding
7,ENSG00000003393.16,ALS2,900.218572,0.37041817,0.11413686,3.245386016,0.001172915,0.009678227,ENSG00000003393.16,2,201700267,201782112,protein_coding
8,ENSG00000003987.14,MTMR7,84.16578944,-0.777803337,0.229699504,-3.386177692,0.000708735,0.006469313,ENSG00000003987.14,8,17296794,17413528,protein_coding
9,ENSG00000003989.18,SLC7A2,7254.641682,0.691009662,0.234105328,2.951704127,0.003160256,0.021309741,ENSG00000003989.18,8,17497088,17570573,protein_coding
10,ENSG00000004139.14,SARM1,678.1874938,0.663989208,0.16901995,3.928466476,8.55e-05,0.001151262,ENSG00000004139.14,17,28364356,28404049,protein_coding
