,gene_id,colors,gene_name,gene_type,receptor
0,ENSG00000163631,grey,ALB,gene with protein product,
1,ENSG00000198804,lightyellow,MT-CO1,gene with protein product,
2,ENSG00000198886,lightyellow,MT-ND4,gene with protein product,
3,ENSG00000210082,lightyellow,MT-RNR2,"RNA, ribosomal",
4,ENSG00000198727,lightyellow,MT-CYB,gene with protein product,
5,ENSG00000198938,lightyellow,MT-CO3,gene with protein product,
6,ENSG00000198899,lightyellow,MT-ATP6,gene with protein product,
7,ENSG00000198786,lightyellow,MT-ND5,gene with protein product,
8,ENSG00000198712,lightyellow,MT-CO2,gene with protein product,
9,ENSG00000198763,lightyellow,MT-ND2,gene with protein product,
10,ENSG00000198888,lightyellow,MT-ND1,gene with protein product,
11,ENSG00000257017,grey,HP,gene with protein product,
12,ENSG00000171560,grey,FGA,gene with protein product,
13,ENSG00000197249,grey,SERPINA1,gene with protein product,
14,ENSG00000212907,lightyellow,MT-ND4L,gene with protein product,
15,ENSG00000125730,greenyellow,C3,gene with protein product,
16,ENSG00000198695,lightyellow,MT-ND6,gene with protein product,
17,ENSG00000091513,grey,TF,gene with protein product,
18,ENSG00000171564,grey,FGB,gene with protein product,
19,ENSG00000099194,grey,SCD,gene with protein product,
20,ENSG00000084674,black,APOB,gene with protein product,
21,ENSG00000229314,grey,ORM1,gene with protein product,
22,ENSG00000228253,lightyellow,MT-ATP8,gene with protein product,
23,ENSG00000171557,grey,FGG,gene with protein product,
24,ENSG00000175899,grey,A2M,gene with protein product,
25,ENSG00000198840,red,MT-ND3,gene with protein product,
26,ENSG00000211459,lightyellow,MT-RNR1,"RNA, ribosomal",
27,ENSG00000136872,grey,ALDOB,gene with protein product,
28,ENSG00000158874,yellow,APOA2,gene with protein product,
29,ENSG00000130649,grey,CYP2E1,gene with protein product,
30,ENSG00000196616,grey,ADH1B,gene with protein product,
31,ENSG00000160868,grey,CYP3A4,gene with protein product,
32,ENSG00000110245,yellow,APOC3,gene with protein product,
33,ENSG00000118271,grey,TTR,gene with protein product,
34,ENSG00000091583,grey,APOH,gene with protein product,
35,ENSG00000115414,black,FN1,gene with protein product,
36,ENSG00000145321,black,GC,gene with protein product,
